Trip ID,Trip Start Timestamp,Trip End Timestamp,Trip Seconds,Trip Miles,Pickup Census Tract,Dropoff Census Tract,Fare,Tip,Additional Charges,Trip Total,Pickup Centroid Latitude,Pickup Centroid Longitude,Dropoff Centroid Latitude,Dropoff Centroid Longitude,start_hour,day_of_week,Int Total
6893655c19882bcdf1cd23a9e4e928fb370692ed,2025-06-07 09:30:00,2025-06-07 09:45:00,405,1.2,17031320600.0,17031081403.0,$7.5,$3,$2.73,$13.23,41.871,-87.622,41.891,-87.619,9,5,13.23
eebc07a5c0f70116790faa64dc778157fd8689ea,2025-03-08 19:30:00,2025-03-08 19:45:00,927,3.8,17031220300.0,17031062000.0,$10,$0,$6.71,$16.71,41.928,-87.695,41.943,-87.647,19,5,16.71
d99f5184f4a46c8350896eea9ae90f59a6e2c735,2025-01-15 18:00:00,2025-01-15 18:15:00,"1,128",3.8,17031832500.0,17031031400.0,$15,$0,$1.23,$16.23,41.922,-87.664,41.962,-87.645,18,2,16.23
6db2ce76e1ea5b6f35ced5cde23a0921ba99a645,2025-12-09 22:30:00,2025-12-09 22:30:00,818,5.3,17031320100.0,17031062200.0,$27.5,$7,$4.56,$39.06,41.885,-87.621,41.943,-87.657,22,1,39.06
214578637a62719360ecb14c21263f5ac499695d,2025-04-29 10:15:00,2025-04-29 10:15:00,514,1.9,17031320600.0,17031330100.0,$7.5,$0,$8.85,$16.35,41.871,-87.622,41.859,-87.617,10,1,16.35
04300f621b419c2f79e4fe57bf1efaa2f6c342a5,2025-06-23 22:30:00,2025-06-23 23:00:00,"1,397",8.2,17031842200.0,17031290900.0,$17.5,$0,$1.23,$18.73,41.905,-87.65,41.862,-87.732,22,0,18.73
c0cab48f807bc29b58e7c5f91f5770e9f489582e,2025-06-21 11:30:00,2025-06-21 12:30:00,"2,998",21.3,17031980000.0,17031841000.0,$55,$12,$6.23,$73.23,41.979,-87.903,41.849,-87.624,11,5,73.23
c77be36c9181325f67d2975c7e5eb4d98f8871ad,2025-10-18 15:45:00,2025-10-18 16:00:00,928,1.8,17031081500.0,17031833000.0,$15,$0,$5.71,$20.71,41.893,-87.626,41.885,-87.657,15,5,20.71
098ed1d27298f90bbb3df96d7c4d375ecae90c80,2025-04-09 15:00:00,2025-04-09 15:00:00,226,0.8,17031251800.0,17031251700.0,$7.5,$0,$1.23,$8.73,41.884,-87.748,41.891,-87.744,15,2,8.73
14259ced07def55a245d9e28521bcddec574b199,2025-05-18 13:00:00,2025-05-18 13:15:00,873,2.2,17031081403.0,17031833100.0,$12.5,$0,$2.73,$15.23,41.891,-87.619,41.879,-87.657,13,6,15.23
2bf4661968197cec43838adb9e1e9f695a5efa95,2025-06-28 12:15:00,2025-06-28 12:45:00,"1,513",8.2,17031020601.0,17031170100.0,$22.5,$0,$1.23,$23.73,42.001,-87.702,41.956,-87.795,12,5,23.73
2362f0e9e8b2817d2fce015f532d0b0bfd0d9c3b,2025-03-29 16:45:00,2025-03-29 17:00:00,399,2.0,17031242300.0,17031230900.0,$10,$0,$1.23,$11.23,41.9,-87.68,41.907,-87.71,16,5,11.23
5212e86b6673e2f5205b44417e140c5c174ef629,2025-05-30 16:45:00,2025-05-30 17:00:00,970,2.7,17031140800.0,17031051400.0,$15,$0,$1.23,$16.23,41.965,-87.703,41.936,-87.681,16,4,16.23
0d250e494dd857a040bf6a994d22f8e376458ec2,2025-06-28 18:15:00,2025-06-28 18:15:00,824,5.3,17031838200.0,17031330100.0,$20,$0,$6.23,$26.23,41.87,-87.675,41.859,-87.617,18,5,26.23
9a4fad0b71cd15b482635625d08a938028251162,2025-04-22 15:15:00,2025-04-22 15:45:00,"1,270",6.3,17031842200.0,17031031200.0,$12.5,$3,$4.78,$20.28,41.905,-87.65,41.973,-87.657,15,1,20.28
57d53eba19213d60efceb750b0c225c68df11886,2025-07-08 10:15:00,2025-07-08 10:30:00,748,4.6,17031292200.0,17031251900.0,$15,$0,$1.23,$16.23,41.857,-87.716,41.884,-87.76,10,1,16.23
ee667280f90050c65465e673df9e9d4cc49d5ef1,2025-01-28 14:30:00,2025-01-28 14:45:00,946,3.9,17031836700.0,17031833000.0,$10,$0,$4.45,$14.45,41.892,-87.702,41.885,-87.657,14,1,14.45
febe3d0329f13e911712ca5f5da8008fe81ef28f,2025-01-01 12:45:00,2025-01-01 13:00:00,"1,151",4.6,17031050300.0,17031040201.0,$15,$1,$2.28,$18.28,41.958,-87.692,41.973,-87.694,12,2,18.28
56aec7b147eb356958489b6e8e387fa8f5af2273,2025-08-22 11:00:00,2025-08-22 11:15:00,787,3.3,17031839100.0,17031241400.0,$7.5,$0,$6.59,$14.09,41.881,-87.633,41.906,-87.675,11,4,14.09
107b7f047ae64b5f5f22e9eb095bdc381a713553,2025-01-04 15:15:00,2025-01-04 15:30:00,951,5.1,17031330100.0,17031837800.0,$12.5,$0,$1.23,$13.73,41.859,-87.617,41.885,-87.684,15,5,13.73
