Trip ID,Trip Start Timestamp,Trip End Timestamp,Trip Seconds,Trip Miles,Pickup Census Tract,Dropoff Census Tract,Fare,Tip,Additional Charges,Trip Total,Pickup Centroid Latitude,Pickup Centroid Longitude,Dropoff Centroid Latitude,Dropoff Centroid Longitude,start_hour,day_type
211084c2d8ebc58aeea76fdb025bc7590b345179,2025-12-04 18:45:00,2025-12-04 19:00:00,"1,030",3.8,17031050500.0,17031241400.0,$15,$4,$9.12,$28.12,41.95,-87.684,41.906,-87.675,18,0
27e5028ce120fcc8b9a9b726d585c499d46ec30d,2025-01-31 14:00:00,2025-01-31 14:15:00,847,3.1,17031833000.0,17031242600.0,$15,$3,$1.23,$19.23,41.885,-87.657,41.901,-87.694,14,0
56458996075b6dfd01844caa79bb905728b41a3e,2025-07-02 08:45:00,2025-07-02 09:00:00,687,3.5,17031242000.0,17031839100.0,$17.5,$2,$2.73,$22.23,41.9,-87.665,41.881,-87.633,8,0
dfcdf06c1835f401aa3841118fdf0ab60fb90070,2025-11-23 15:45:00,2025-11-23 16:15:00,"1,953",14.8,17031240300.0,17031980000.0,$40,$9,$6.23,$55.23,41.912,-87.675,41.979,-87.903,15,2
8e6186ca8f4efb05dd35bc5b0bca740d58dd2d7d,2025-01-12 17:30:00,2025-01-12 17:45:00,846,2.7,17031281900.0,17031080300.0,$10,$5,$2.73,$17.73,41.879,-87.643,41.907,-87.636,17,2
fbb71658f136d32e81c098bf82c0af92d3f6d05a,2025-11-15 00:45:00,2025-11-15 01:00:00,309,0.8,17031081700.0,17031320100.0,$7.5,$2,$1.23,$10.73,41.892,-87.632,41.885,-87.621,0,1
2e7418e00ca5866527d1a060716a4439a21f8720,2025-03-22 21:30:00,2025-03-22 21:45:00,465,1.5,17031833000.0,17031242000.0,$10,$0,$2.73,$12.73,41.885,-87.657,41.9,-87.665,21,1
ab35fb1f95941afb0d9c15648273f7f18769a6e2,2025-02-13 10:00:00,2025-02-13 10:00:00,461,1.0,17031081800.0,17031839100.0,$5,$0,$3.49,$8.49,41.893,-87.638,41.881,-87.633,10,0
671268a66f5d3c107fdea9e229743ec10b1f9820,2025-12-08 18:00:00,2025-12-08 18:15:00,364,0.7,17031839100.0,17031320400.0,$10,$4,$6.04,$20.04,41.881,-87.633,41.877,-87.622,18,0
04883549b316877c5547448c15b0a8b79a652104,2025-12-27 13:45:00,2025-12-27 14:00:00,"1,208",6.9,17031230900.0,17031320400.0,$17.5,$0,$8.2,$25.7,41.907,-87.71,41.877,-87.622,13,1
f74455ef7e74330df6f75ed243718656c2181fa8,2025-04-10 16:45:00,2025-04-10 17:30:00,"2,804",8.5,17031833000.0,17031031100.0,$22.5,$3,$5.45,$30.95,41.885,-87.657,41.973,-87.664,16,0
fc1351b36b861c2c030a17a827f44bd8e6ab719e,2025-05-15 19:30:00,2025-05-15 19:45:00,"1,204",6.4,17031081700.0,17031061000.0,$17.5,$0,$2.73,$20.23,41.892,-87.632,41.949,-87.652,19,0
52e9d883d137a97526f756b40e5315c37ae3de44,2025-02-12 12:30:00,2025-02-12 12:45:00,658,1.9,17031210400.0,17031160800.0,$10,$0,$2.27,$12.27,41.936,-87.73,41.95,-87.713,12,0
b579629a060a0e76163dc489914a47ffaed29f08,2025-10-05 21:15:00,2025-10-05 21:15:00,128,0.6,17031833000.0,17031280100.0,$20,$3,$2.73,$25.73,41.885,-87.657,41.885,-87.643,21,2
e6c23df4aec9fe7b3c54f1ea4dd23d1dc5973d5c,2025-08-24 00:30:00,2025-08-24 00:45:00,554,3.0,17031310600.0,17031839000.0,$12.5,$0,$1.23,$13.73,41.856,-87.66,41.871,-87.631,0,2
2562350efe687020a1cb06fbf5c47a4d026182ad,2025-06-07 20:00:00,2025-06-07 20:15:00,566,2.9,17031611500.0,17031660900.0,$12.5,$0,$1.23,$13.73,41.805,-87.677,41.768,-87.698,20,1
0b3df56b0a301957972c486332a07d65d2711d38,2025-12-06 16:00:00,2025-12-06 16:15:00,731,1.7,17031070200.0,17031062400.0,$12.5,$0,$1.23,$13.73,41.929,-87.646,41.942,-87.666,16,1
1928cb7e003c9b10dedd33fdbab119c3541187c8,2025-02-28 20:00:00,2025-02-28 20:00:00,243,0.9,17031071200.0,17031071400.0,$5,$0,$1.23,$6.23,41.922,-87.646,41.922,-87.634,20,0
