day_type,start_hour,Pickup Centroid Latitude,Pickup Centroid Longitude,Dropoff Centroid Latitude,Dropoff Centroid Longitude,group_n,group_id,representative_year,representative_month,representative_day,walkDist,walkTime,transitDist,transitTime,totalDist,totalTime,modes
0,14,41.892,-87.632,41.915,-87.654,50,1033499,2026,4,22,1083.0,1071.0,3379.0,420.0,4462.0,1491s,"{'SUBWAY', 'WALK'}"
0,14,41.885,-87.657,41.915,-87.654,56,1029327,2026,4,22,964.0,979.0,6702.0,1020.0,7666.0,2339s,"{'SUBWAY', 'WALK'}"
0,21,42.009,-87.673,42.005,-87.659,22,2021557,2026,4,22,638.0,536.0,1033.0,528.0,1671.0,1064s,"{'BUS', 'WALK'}"
2,3,41.9,-87.629,41.893,-87.638,157,4106877,2026,4,22,727.0,617.0,892.0,251.0,1619.0,869s,"{'BUS', 'WALK'}"
1,17,41.891,-87.619,41.951,-87.667,11,3257378,2026,4,22,462.0,401.0,10526.0,2620.0,10988.0,3525s,"{'BUS', 'WALK'}"
2,5,41.859,-87.617,41.906,-87.631,82,4262509,2026,4,26,1558.0,1369.0,5269.0,727.0,6827.0,2315s,"{'SUBWAY', 'BUS', 'WALK'}"
0,21,41.943,-87.643,41.879,-87.643,63,1989115,2026,4,22,533.0,453.0,8901.0,2983.0,9434.0,3443s,"{'BUS', 'WALK'}"
1,4,41.881,-87.633,41.885,-87.657,1032,2716709,2026,4,22,746.0,773.0,1848.0,240.0,2594.0,1013s,"{'SUBWAY', 'WALK'}"
2,12,41.913,-87.775,42.006,-87.902,1,4521980,2026,4,25,1985.0,1681.0,26666.0,3499.0,28651.0,5884s,"{'BUS', 'WALK'}"
1,5,41.943,-87.647,41.973,-87.657,37,2829193,2026,4,22,564.0,470.0,3681.0,676.0,4245.0,1147s,"{'BUS', 'WALK'}"
2,15,41.95,-87.702,41.905,-87.65,2,4621360,2026,4,22,1002.0,958.0,9883.0,1452.0,10885.0,2966s,"{'SUBWAY', 'BUS', 'WALK'}"
1,3,41.942,-87.661,41.958,-87.676,5,2669388,2026,4,22,967.0,944.0,2865.0,360.0,3832.0,1304s,"{'SUBWAY', 'WALK'}"
1,3,41.893,-87.653,41.922,-87.651,15,2640378,2026,4,22,362.0,318.0,4220.0,1092.0,4582.0,1410s,"{'BUS', 'WALK'}"
