Pickup Neighborhood,Dropoff Neighborhood,totalTransitTime_wavg,rideshareTime_wavg,tripCost_wavg,transitPenalty_wavg,distance_wavg,Count,transitPenaltyColor
Auburn Gresham,Roseland,39.37536231884057,13.16485507246377,13.864347826086956,3.0614252384786513,3.8065217391304347,46.0,red
Auburn Gresham,South Chicago,50.064102564102555,19.605128205128207,17.597692307692306,2.6465867175107616,4.661538461538462,13.0,orange
Auburn Gresham,South Shore,49.56089743589743,18.84070512820513,22.05019230769231,2.711988811726811,4.921153846153846,52.0,orange
Auburn Gresham,Streeterville,66.25072463768116,32.414855072463766,28.137391304347826,2.092534668839909,13.72608695652174,46.0,yellow
Auburn Gresham,United Center,66.20185185185184,30.830092592592596,28.084722222222222,2.1901861885559093,11.875,36.0,yellow
Auburn Gresham,Washington Heights,28.44852941176471,10.07924836601307,13.859509803921567,3.1519083852195786,2.679411764705883,102.0,red
Auburn Gresham,Washington Park,48.111111111111114,16.38148148148148,15.708888888888888,3.0415310033747445,5.522222222222222,9.0,red
Auburn Gresham,West Lawn,44.48333333333333,22.70555555555556,21.646666666666665,1.9753192877985768,5.116666666666666,6.0,green
Auburn Gresham,West Loop,68.28630952380952,30.688690476190477,27.404642857142857,2.367327702319575,11.332142857142857,56.0,orange
Auburn Gresham,West Pullman,38.802564102564105,21.175641025641028,4.632307692307692,1.8600562948921335,6.461538461538462,13.0,green
Auburn Gresham,West Town,70.45,24.966666666666665,31.35,2.8217623497997333,12.8,1.0,red
Auburn Gresham,Wicker Park,81.38333333333334,50.733333333333334,35.68,1.6041392904073588,15.7,1.0,green
Auburn Gresham,Woodlawn,50.77222222222222,19.033333333333335,19.626666666666665,2.7855951071610017,5.111111111111111,9.0,red
Austin,,72.83333333333333,30.766666666666666,28.73,2.3672806067172263,12.6,1.0,orange
Austin,Albany Park,61.14166666666667,39.449999999999996,21.275,1.6036990468555916,7.9,4.0,green
Austin,Austin,19.30173761052848,7.533497840838987,10.558223318938927,2.7906360751345187,1.4532387415175818,1621.0,red
Austin,Avondale,56.21666666666667,24.833333333333336,20.19,2.291589944950051,8.9,2.0,yellow
Austin,Belmont Cragin,30.139814814814823,12.227777777777776,12.825740740740741,2.593587163936647,2.572222222222221,54.0,orange
Austin,Boystown,83.53333333333333,43.7,23.98,1.9124862855518734,11.9,2.0,green
Austin,Chatham,92.87916666666666,32.358333333333334,29.2325,3.16984744597392,16.6,4.0,red
Austin,Chicago Lawn,73.72083333333333,35.329166666666666,26.98,2.1345029375691182,12.225000000000001,4.0,yellow
Austin,Douglas,83.76666666666667,21.316666666666666,15.7875,3.929632525410477,11.075,4.0,red
Austin,Dunning,44.77482993197279,20.99897959183673,17.81,2.1867144016674387,5.2306122448979595,49.0,yellow
Austin,East Village,53.9,24.383333333333333,16.026,2.4523042475806336,7.3,5.0,orange
Austin,Galewood,24.393137254901962,7.490686274509804,10.254117647058825,3.989875778047616,1.6,34.0,red
Austin,Garfield Park,24.33779761904762,11.9375,14.079285714285716,2.145161871208567,2.689285714285714,56.0,yellow
Austin,Garfield Ridge,65.81397849462365,26.50268817204301,33.41935483870968,2.528891465994817,7.570967741935485,31.0,orange
Austin,Grand Boulevard,71.76666666666667,30.71111111111111,25.929999999999996,2.4257904118589697,12.233333333333334,6.0,orange
Austin,Grand Crossing,86.20833333333334,23.866666666666667,32.48,3.9061920376258614,15.850000000000001,2.0,red
Austin,Grant Park,50.15725490196078,23.344901960784316,23.77223529411765,2.229533300170341,7.509411764705882,85.0,yellow
Austin,Hermosa,30.7,12.066666666666666,12.86,2.544198895027624,2.6,1.0,orange
Austin,Humboldt Park,31.689182389937105,14.869622641509434,15.195547169811322,2.296105180683721,3.433207547169811,265.0,yellow
Austin,Hyde Park,69.43333333333334,31.16111111111111,29.310000000000002,2.2676423251543696,13.566666666666668,3.0,yellow
Austin,Irving Park,53.42777777777778,30.605555555555558,24.47666666666667,1.8932125650758584,7.083333333333333,6.0,green
Austin,Jackson Park,89.71666666666667,36.766666666666666,33.73,2.4537245275377417,15.9,2.0,orange
Austin,Lake View,68.06666666666668,39.87222222222223,33.754999999999995,1.770291096286644,9.85,6.0,green
Austin,Lincoln Park,75.86491228070176,37.607894736842105,29.00526315789474,2.0705005612998453,11.721052631578948,19.0,yellow
Austin,Lincoln Square,76.51666666666667,42.016666666666666,34.41,1.8211027370091233,10.5,1.0,green
Austin,"Little Italy, UIC",41.244563426688636,19.380642504118615,17.73359143327842,2.226349797034933,5.737397034596375,607.0,yellow
Austin,Little Village,42.45790960451977,24.11610169491526,21.9693220338983,1.854421015257876,5.681355932203391,59.0,green
Austin,Logan Square,39.72555555555555,21.274444444444445,19.981333333333335,2.0481977392933604,4.793333333333334,15.0,yellow
Austin,Loop,49.54258169934641,26.283431372549018,24.25819607843137,2.1082212601496297,8.410392156862743,510.0,yellow
